--- DATA QUALITY REPORT FOR YEAR 2024 ---

1. NULL COVERAGE
metric,missing_count,total_count,missing_pct,status
return_on_equity_pct,1,92,1.09,PASS
debt_to_equity,1,92,1.09,PASS
free_cash_flow_cr,1,92,1.09,PASS
revenue_cagr_5yr,1,92,1.09,PASS
revenue_cagr_3yr,1,92,1.09,PASS
pat_cagr_5yr,8,92,8.7,PASS
operating_profit_margin_pct,1,92,1.09,PASS
pe_ratio,0,92,0.0,PASS
pb_ratio,0,92,0.0,PASS
dividend_yield_pct,0,92,0.0,PASS
interest_coverage,1,92,1.09,PASS
market_cap_crore,0,92,0.0,PASS
net_profit,0,92,0.0,PASS
eps_cagr_5yr,9,92,9.78,PASS
asset_turnover,1,92,1.09,PASS
sales,0,92,0.0,PASS
dividend_payout_ratio_pct,3,92,3.26,PASS
composite_quality_score,0,92,0.0,PASS

2. RANGE VALIDITY WARNINGS
PASS: No out-of-bounds or extreme values detected.

3. MARKET DATA PRESENCE
check,status,missing_symbols
Market Data completeness,PASS,None
